epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,564.17,1.07199,2.61308,1.22689,0.64677,0.22205,0.25628,0.16805,0.95649,3.53726,1.11552,0.0676226,0.000327044,0.000327044
2,1120.69,1.13847,2.3817,1.18741,0.57088,0.59953,0.5924,0.41223,1.05048,2.11533,1.22084,0.0344906,0.000528315,0.000528315
3,1675.87,1.11585,1.83607,1.17431,0.78591,0.65153,0.68285,0.49838,1.01361,1.44901,1.06306,0.0012252,0.000596266,0.000596266
4,2218.57,0.90297,1.18284,1.05851,0.9268,0.77689,0.86643,0.71197,0.73486,0.93691,0.98524,0.00040006,0.00040006,0.00040006
5,2759.54,0.66731,0.71096,0.96506,0.94885,0.85183,0.91038,0.80385,0.54964,0.66048,0.88798,0.00020008,0.00020008,0.00020008
