epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2742.88,0.95287,0.64608,1.15528,0.95033,0.87649,0.92457,0.75422,0.7759,0.55411,1.03871,0.000675546,0.000675546,0.000675546
43,2806.79,0.93824,0.63179,1.15504,0.95154,0.86739,0.92081,0.73424,0.80846,0.60423,1.04484,0.00066191,0.00066191,0.00066191
44,2870.92,0.90409,0.60388,1.13706,0.9693,0.85894,0.92557,0.75201,0.78635,0.56027,1.05473,0.000648164,0.000648164,0.000648164
45,2934.72,0.92323,0.62691,1.14466,0.96415,0.86581,0.92813,0.76406,0.77746,0.55018,1.0212,0.000634322,0.000634322,0.000634322
46,2998.7,0.89996,0.62322,1.1521,0.98982,0.86959,0.93562,0.76717,0.77706,0.53891,1.0199,0.000620396,0.000620396,0.000620396
47,3064.8,0.91547,0.60281,1.12906,0.92717,0.8845,0.9266,0.75203,0.76301,0.58741,1.05495,0.0006064,0.0006064,0.0006064
48,3128.6,0.91672,0.63365,1.14421,0.96032,0.87468,0.91949,0.76211,0.75099,0.54828,1.02959,0.000592349,0.000592349,0.000592349
49,3192.37,0.90993,0.6332,1.14297,0.95537,0.87268,0.92708,0.76155,0.74274,0.5347,1.01351,0.000578256,0.000578256,0.000578256
50,3256.04,0.89269,0.58719,1.13168,0.97806,0.87174,0.93402,0.79146,0.69718,0.49752,0.99577,0.000564135,0.000564135,0.000564135
51,3322.07,0.86205,0.58397,1.11192,0.91955,0.89712,0.92912,0.77571,0.71169,0.52954,1.01076,0.00055,0.00055,0.00055
52,3388.12,0.87589,0.58148,1.1292,0.97602,0.89346,0.93568,0.76451,0.72587,0.5002,1.03604,0.000535865,0.000535865,0.000535865
53,3452.08,0.86775,0.583,1.10627,0.95902,0.8573,0.92207,0.76072,0.71075,0.55556,1.02571,0.000521744,0.000521744,0.000521744
54,3515.72,0.88183,0.57781,1.12638,0.95084,0.87852,0.92838,0.77519,0.69463,0.514,0.99552,0.000507651,0.000507651,0.000507651
55,3579.55,0.85502,0.57479,1.10399,0.97748,0.86067,0.93829,0.77416,0.7503,0.5063,1.01895,0.0004936,0.0004936,0.0004936
56,3643.4,0.86332,0.57421,1.10418,0.97747,0.87987,0.94832,0.79963,0.68093,0.48233,0.98556,0.000479604,0.000479604,0.000479604
57,3709.65,0.82339,0.53075,1.09054,0.97198,0.90422,0.94685,0.79726,0.67194,0.46971,0.98183,0.000465678,0.000465678,0.000465678
58,3773.59,0.84032,0.53877,1.08881,0.9431,0.8914,0.94032,0.77608,0.67122,0.49674,0.98763,0.000451836,0.000451836,0.000451836
59,3837.48,0.85566,0.53227,1.10061,0.97899,0.88208,0.93283,0.78538,0.67607,0.4969,1.01227,0.00043809,0.00043809,0.00043809
60,3901.25,0.83299,0.53713,1.08644,0.98211,0.88371,0.93526,0.801,0.64964,0.46916,0.96112,0.000424454,0.000424454,0.000424454
61,3965.12,0.84434,0.54274,1.09804,0.98934,0.87953,0.94074,0.78387,0.70578,0.46063,0.9848,0.000410942,0.000410942,0.000410942
62,4031.19,0.83422,0.53212,1.10176,0.97371,0.87524,0.93716,0.80465,0.62431,0.44043,0.97235,0.000397568,0.000397568,0.000397568
63,4097.5,0.79447,0.52219,1.06195,0.99162,0.87782,0.94301,0.80889,0.67025,0.46069,0.96544,0.000384344,0.000384344,0.000384344
64,4163.79,0.84841,0.52301,1.08929,0.95152,0.8897,0.93074,0.75936,0.76817,0.51121,1.0196,0.000371283,0.000371283,0.000371283
65,4227.61,0.80874,0.51681,1.08327,0.96929,0.89133,0.93778,0.79638,0.66607,0.45674,0.97099,0.000358399,0.000358399,0.000358399
66,4291.45,0.79361,0.49243,1.07504,0.98873,0.8824,0.94429,0.78066,0.73997,0.45279,1.00863,0.000345704,0.000345704,0.000345704
67,4355.13,0.79752,0.50231,1.0843,0.97963,0.89902,0.94323,0.77266,0.76465,0.4641,1.0212,0.000333211,0.000333211,0.000333211
68,4418.99,0.79667,0.49357,1.07292,0.97715,0.90351,0.94428,0.77988,0.72118,0.46462,0.99256,0.000320931,0.000320931,0.000320931
69,4483.11,0.80766,0.51277,1.07684,0.9908,0.90329,0.94822,0.805,0.68469,0.43912,0.98932,0.000308878,0.000308878,0.000308878
70,4547.07,0.7937,0.50475,1.07554,0.97829,0.89018,0.94622,0.81369,0.66122,0.44614,0.98097,0.000297062,0.000297062,0.000297062
71,4613.31,0.76471,0.47751,1.04706,0.97687,0.90672,0.94665,0.79743,0.68857,0.43633,0.9848,0.000285497,0.000285497,0.000285497
72,4679.55,0.76462,0.47005,1.07131,0.97778,0.90623,0.94539,0.80609,0.66268,0.42293,0.96748,0.000274192,0.000274192,0.000274192
73,4743.3,0.77518,0.47936,1.0539,0.98599,0.9204,0.95088,0.81238,0.64301,0.4196,0.97176,0.000263159,0.000263159,0.000263159
